Channel Id,Channel Url,Channel Title
UCQmzgjEb7X6--w7CSE1erJg,http://www.youtube.com/channel/UCQmzgjEb7X6--w7CSE1erJg,Slimecicle
UCREa2DYQx7m9vHFIpbmt2-w,http://www.youtube.com/channel/UCREa2DYQx7m9vHFIpbmt2-w,PippenFTS
UCRlEFn0L2G_DktbyvN0AZ5A,http://www.youtube.com/channel/UCRlEFn0L2G_DktbyvN0AZ5A,WadZee
UCSl57GrlTnsbRt-whzeTufg,http://www.youtube.com/channel/UCSl57GrlTnsbRt-whzeTufg,StarBlaze Empire
UCTWcrFkcu1RtWlj0EXfNN-A,http://www.youtube.com/channel/UCTWcrFkcu1RtWlj0EXfNN-A,Nicro
UCTjqo_3046IXFFGZ_M5jedA,http://www.youtube.com/channel/UCTjqo_3046IXFFGZ_M5jedA,jackisanerd
UCTkXRDQl0luXxVQrRQvWS6w,http://www.youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w,Dream
UCU9pX8hKcrx06XfOB-VQLdw,http://www.youtube.com/channel/UCU9pX8hKcrx06XfOB-VQLdw,xisumavoid
UCUVahoidFA7F3Asfvamrm7w,http://www.youtube.com/channel/UCUVahoidFA7F3Asfvamrm7w,CodePulse
UCUaT_39o1x6qWjz7K2pWcgw,http://www.youtube.com/channel/UCUaT_39o1x6qWjz7K2pWcgw,Beast Reacts
UCUdvO__Xlf_8waINPSrdLCg,http://www.youtube.com/channel/UCUdvO__Xlf_8waINPSrdLCg,ConflictNerd
UCUzQJ3JBuQ9w-po4TXRJHiA,http://www.youtube.com/channel/UCUzQJ3JBuQ9w-po4TXRJHiA,jdh
UCV--8wtuyGo3vMtIdeq4j3w,http://www.youtube.com/channel/UCV--8wtuyGo3vMtIdeq4j3w,Technothepig
UCVeW9qkBjo3zosnqUbG7CFw,http://www.youtube.com/channel/UCVeW9qkBjo3zosnqUbG7CFw,John Hammond
UCVhZyGllAVd-Wl6kNufV0uA,http://www.youtube.com/channel/UCVhZyGllAVd-Wl6kNufV0uA,JackManifoldTV
UCVtFOytbRpEvzLjvqGG5gxQ,http://www.youtube.com/channel/UCVtFOytbRpEvzLjvqGG5gxQ,KSI
UCW5OrUZ4SeUYkUg1XqcjFYA,http://www.youtube.com/channel/UCW5OrUZ4SeUYkUg1XqcjFYA,GeoWizard
